date,species_code,plot_name,average,stdev
11/08/2022,P1CSE,plot_1,1.64157,0.368116801
11/08/2022,P1PH,plot_1,,
11/08/2022,P1PL,plot_1,2.8193125,0.69535347
11/08/2022,P1QC,plot_1,5.177975,1.097018505
11/08/2022,P1CSI,plot_1,2.2709,0.521082696
11/08/2022,P1PLOT,plot_1,2.413006667,1.14069191
11/08/2022,P2CSE,plot_2,1.91446,#DIV/0!
11/08/2022,P2PH,plot_2,1.69014,#DIV/0!
11/08/2022,P2PL,plot_2,,#DIV/0!
11/08/2022,P2QC,plot_2,3.4768225,0.518945391
11/08/2022,P2CSI,plot_2,3.63894,0.825031358
11/08/2022,P2PLOT,plot_2,6.066118235,1.592646638
11/08/2022,P3CSE,plot_3,3.179975,0.691999624
11/08/2022,P3PH,plot_3,4.346225,0.661485838
11/08/2022,P3PL,plot_3,4.346225,0.661485838
11/08/2022,P3QC,plot_3,4.1687125,0.695403327
11/08/2022,P3CSI,plot_3,5.82693,1.947413319
11/08/2022,P3PLOT,plot_3,4.167014,0.345989278
11/08/2022,P4CSE,plot_4,3.35139,0.208524282
11/08/2022,P4PH,plot_4,2.9639175,0.350915413
11/08/2022,P4PL,plot_4,5.2783625,0.28256417
11/08/2022,P4QC,plot_4,5.040605,1.290467701
11/08/2022,P4CSI,plot_4,4.9458175,0.716256697
11/08/2022,P4PLOT,plot_4,3.453575,0.468502746
11/08/2022,P5CSE,plot_5,1.738396667,0.558660779
11/08/2022,P5PH,plot_5,,
11/08/2022,P5PL,plot_5,#DIV/0!,#DIV/0!
11/08/2022,P5QC,plot_5,3.5208175,0.185560299
11/08/2022,P5CSI,plot_5,2.900915,0.719568403
11/08/2022,P5PLOT,plot_5,2.819405,0.34249633
11/08/2022,P6CSE,plot_6,3.35582,#DIV/0!
11/08/2022,P6PH,plot_6,#DIV/0!,#DIV/0!
11/08/2022,P6PL,plot_6,2.86358,0.538418768
11/08/2022,P6QC,plot_6,4.0951975,0.138883083
11/08/2022,P6CSI,plot_6,2.72345,#DIV/0!
11/08/2022,P6PLOT,plot_6,3.766358,1.381885048
08/09/2022,P1CSE,plot_1,1.729042,0.394124309
08/09/2022,P1PH,plot_1,0.685666667,0.09714004
08/09/2022,P1PL,plot_1,4.88113,0.585959768
08/09/2022,P1QC,plot_1,4.622768,0.286798844
08/09/2022,P1CSI,plot_1,2.980122,0.530810181
08/09/2022,P1PLOT,plot_1,1.891870563,0.888827148
08/09/2022,P2CSE,plot_2,#DIV/0!,#DIV/0!
08/09/2022,P2PH,plot_2,1.4700075,0.145576755
08/09/2022,P2PL,plot_2,#DIV/0!,#DIV/0!
08/09/2022,P2QC,plot_2,3.771926667,0.171903518
08/09/2022,P2CSI,plot_2,3.933992,0.227811361
08/09/2022,P2PLOT,plot_2,3.036619111,2.225257553
08/09/2022,P3CSE,plot_3,1.490486,0.215822864
08/09/2022,P3PH,plot_3,1.489374,0.093092295
08/09/2022,P3PL,plot_3,2.466696,0.240361992
08/09/2022,P3QC,plot_3,1.834688,0.038062723
08/09/2022,P3CSI,plot_3,3.22955,0.197806051
08/09/2022,P3PLOT,plot_3,2.185679167,0.704240712
08/09/2022,P4CSE,plot_4,1.868038,0.271389119
08/09/2022,P4PH,plot_4,1.217052,0.092655449
08/09/2022,P4PL,plot_4,5.496292,0.297723886
08/09/2022,P4QC,plot_4,2.655886,0.37736433
08/09/2022,P4CSI,plot_4,2.079894,0.675589485
08/09/2022,P4PLOT,plot_4,2.494316875,0.681638945
08/09/2022,P5CSE,plot_5,2.62087,#DIV/0!
08/09/2022,P5PH,plot_5,#DIV/0!,#DIV/0!
08/09/2022,P5PL,plot_5,#DIV/0!,#DIV/0!
08/09/2022,P5QC,plot_5,4.034668,0.509747329
08/09/2022,P5CSI,plot_5,2.54556,0.098377925
08/09/2022,P5PLOT,plot_5,2.700425714,0.553401156
08/09/2022,P6CSE,plot_6,1.85581,0.106702413
08/09/2022,P6PH,plot_6,#DIV/0!,#DIV/0!
08/09/2022,P6PL,plot_6,2.515774,0.139787277
08/09/2022,P6QC,plot_6,2.6815925,0.945003634
08/09/2022,P6CSI,plot_6,2.044653333,0.04096174
08/09/2022,P6PLOT,plot_6,2.738550684,1.117949281
31/10/2022,P1CSE,plot_1,#DIV/0!,#DIV/0!
31/10/2022,P1PH,plot_1,0.553339,#DIV/0!
31/10/2022,P1PL,plot_1,2.69869,0.64687384
31/10/2022,P1QC,plot_1,3.932576,0.112396992
31/10/2022,P1CSI,plot_1,2.199182,0.219878192
31/10/2022,P1PLOT,plot_1,1.392387933,0.40708603
31/10/2022,P2CSE,plot_2,#DIV/0!,#DIV/0!
31/10/2022,P2PH,plot_2,#DIV/0!,#DIV/0!
31/10/2022,P2PL,plot_2,#DIV/0!,#DIV/0!
31/10/2022,P2QC,plot_2,2.96765,0.143310121
31/10/2022,P2CSI,plot_2,4.35379,0.143937701
31/10/2022,P2PLOT,plot_2,3.296748571,0.898443801
31/10/2022,P3CSE,plot_3,1.510644,0.45268013
31/10/2022,P3PH,plot_3,0.7993732,0.08377982
31/10/2022,P3PL,plot_3,3.20219,0.975815586
31/10/2022,P3QC,plot_3,1.20296,#DIV/0!
31/10/2022,P3CSI,plot_3,2.650342,0.20212656
31/10/2022,P3PLOT,plot_3,1.450696667,0.33597242
31/10/2022,P4CSE,plot_4,#DIV/0!,#DIV/0!
31/10/2022,P4PH,plot_4,#DIV/0!,#DIV/0!
31/10/2022,P4PL,plot_4,3.0866,0.17199821
31/10/2022,P4QC,plot_4,2.759174,0.175719751
31/10/2022,P4CSI,plot_4,4.441982,0.0351953
31/10/2022,P4PLOT,plot_4,1.710212857,0.135871107
31/10/2022,P5CSE,plot_5,#DIV/0!,#DIV/0!
31/10/2022,P5PH,plot_5,#DIV/0!,#DIV/0!
31/10/2022,P5PL,plot_5,#DIV/0!,#DIV/0!
31/10/2022,P5QC,plot_5,#DIV/0!,#DIV/0!
31/10/2022,P5CSI,plot_5,#DIV/0!,#DIV/0!
31/10/2022,P5PLOT,plot_5,#DIV/0!,#DIV/0!
31/10/2022,P6CSE,plot_6,#DIV/0!,#DIV/0!
31/10/2022,P6PH,plot_6,#DIV/0!,#DIV/0!
31/10/2022,P6PL,plot_6,#DIV/0!,#DIV/0!
31/10/2022,P6QC,plot_6,#DIV/0!,#DIV/0!
31/10/2022,P6CSI,plot_6,#DIV/0!,#DIV/0!
31/10/2022,P6PLOT,plot_6,#DIV/0!,#DIV/0!
23/11/2022,P1CSE,plot_1,#DIV/0!,#DIV/0!
23/11/2022,P1PH,plot_1,#DIV/0!,#DIV/0!
23/11/2022,P1PL,plot_1,2.092236667,0.412964631
23/11/2022,P1QC,plot_1,3.319724,0.245547643
23/11/2022,P1CSI,plot_1,1.946228,0.186583241
23/11/2022,P1PLOT,plot_1,2.066985556,0.300025515
23/11/2022,P2CSE,plot_2,#DIV/0!,#DIV/0!
23/11/2022,P2PH,plot_2,#DIV/0!,#DIV/0!
23/11/2022,P2PL,plot_2,#DIV/0!,#DIV/0!
23/11/2022,P2QC,plot_2,3.214722,0.200281615
23/11/2022,P2CSI,plot_2,3.705521667,0.423302376
23/11/2022,P2PLOT,plot_2,2.5608555,1.145233129
23/11/2022,P3CSE,plot_3,2.477502,0.456536055
23/11/2022,P3PH,plot_3,1.956132,0.069846771
23/11/2022,P3PL,plot_3,2.66466,0.171668909
23/11/2022,P3QC,plot_3,2.203846,0.023249919
23/11/2022,P3CSI,plot_3,3.700362,0.288719809
23/11/2022,P3PLOT,plot_3,2.3926096,0.404328797
23/11/2022,P4CSE,plot_4,2.704728,0.275659449
23/11/2022,P4PH,plot_4,1.69622,0.068405778
23/11/2022,P4PL,plot_4,3.838453333,0.311769276
23/11/2022,P4QC,plot_4,3.876122,0.249468094
23/11/2022,P4CSI,plot_4,4.347656,0.097905404
23/11/2022,P4PLOT,plot_4,2.229155391,0.950951846
23/11/2022,P5CSE,plot_5,#DIV/0!,#DIV/0!
23/11/2022,P5PH,plot_5,#DIV/0!,#DIV/0!
23/11/2022,P5PL,plot_5,#DIV/0!,#DIV/0!
23/11/2022,P5QC,plot_5,2.927564,0.412772972
23/11/2022,P5CSI,plot_5,2.833403333,0.181082798
23/11/2022,P5PLOT,plot_5,2.731519,1.070122027
23/11/2022,P6CSE,plot_6,1.804175,0.055892058
23/11/2022,P6PH,plot_6,#DIV/0!,#DIV/0!
23/11/2022,P6PL,plot_6,2.09182,0.255857705
23/11/2022,P6QC,plot_6,2.8913675,0.167413977
23/11/2022,P6CSI,plot_6,2.1434125,0.082805921
23/11/2022,P6PLOT,plot_6,2.943084118,1.436794707
20/12/2022,P1CSE,plot_1,1.404176,0.121902028
20/12/2022,P1PH,plot_1,1.66075,0.138627216
20/12/2022,P1PL,plot_1,3.416584,1.186180152
20/12/2022,P1QC,plot_1,3.563294,0.297316526
20/12/2022,P1CSI,plot_1,3.030406,0.17702102
20/12/2022,P1PLOT,plot_1,1.58977576,0.598853772
20/12/2022,P2CSE,plot_2,1.793726,0.188314287
20/12/2022,P2PH,plot_2,0.8875242,0.051905389
20/12/2022,P2PL,plot_2,1.462045,0.065883746
20/12/2022,P2QC,plot_2,2.2206,0.210687469
20/12/2022,P2CSI,plot_2,3.556824,0.119617932
20/12/2022,P2PLOT,plot_2,2.309302,1.005216135
20/12/2022,P3CSE,plot_3,1.25965,0.120606147
20/12/2022,P3PH,plot_3,1.812276,0.071207984
20/12/2022,P3PL,plot_3,1.653456,0.145739298
20/12/2022,P3QC,plot_3,2.051558,0.080740898
20/12/2022,P3CSI,plot_3,3.681444,0.219784257
20/12/2022,P3PLOT,plot_3,2.4436676,0.416029383
20/12/2022,P4CSE,plot_4,2.162032,0.454871866
20/12/2022,P4PH,plot_4,1.769502,0.304825656
20/12/2022,P4PL,plot_4,2.781736,0.340788032
20/12/2022,P4QC,plot_4,4.302648,0.159004076
20/12/2022,P4CSI,plot_4,4.407658,0.2128125
20/12/2022,P4PLOT,plot_4,2.65769948,0.723536464
20/12/2022,P5CSE,plot_5,#DIV/0!,#DIV/0!
20/12/2022,P5PH,plot_5,#DIV/0!,#DIV/0!
20/12/2022,P5PL,plot_5,1.133487667,0.188604147
20/12/2022,P5QC,plot_5,3.28058,0.083157552
20/12/2022,P5CSI,plot_5,2.913354,0.341036065
20/12/2022,P5PLOT,plot_5,2.093479231,0.928852094
20/12/2022,P6CSE,plot_6,2.2525,0.062273401
20/12/2022,P6PH,plot_6,#DIV/0!,#DIV/0!
20/12/2022,P6PL,plot_6,1.324693667,0.635968267
20/12/2022,P6QC,plot_6,1.821972,0.493790685
20/12/2022,P6CSI,plot_6,1.723684,0.210524622
20/12/2022,P6PLOT,plot_6,2.3531592,0.933922226
10/01/2023,P1CSE,plot_1,0.71407125,0.124056848
10/01/2023,P1PH,plot_1,0.546012333,0.056184623
10/01/2023,P1PL,plot_1,3.598904,0.388140908
10/01/2023,P1QC,plot_1,3.8194525,0.190049522
10/01/2023,P1CSI,plot_1,2.211074,0.144300415
10/01/2023,P1PLOT,plot_1,2.1015544,0.631842923
10/01/2023,P2CSE,plot_2,2.169912,0.059494637
10/01/2023,P2PH,plot_2,#DIV/0!,#DIV/0!
10/01/2023,P2PL,plot_2,2.1555725,0.357156565
10/01/2023,P2QC,plot_2,2.433246,0.280984587
10/01/2023,P2CSI,plot_2,3.903022,0.347149493
10/01/2023,P2PLOT,plot_2,3.040502143,0.939673576
10/01/2023,P3CSE,plot_3,1.653814,0.092001039
10/01/2023,P3PH,plot_3,1.462784,0.072599631
10/01/2023,P3PL,plot_3,3.064452,0.075966343
10/01/2023,P3QC,plot_3,1.55674,0.043627623
10/01/2023,P3CSI,plot_3,3.363444,0.230645184
10/01/2023,P3PLOT,plot_3,1.78608096,0.519016407
10/01/2023,P4CSE,plot_4,1.825482,0.20852068
10/01/2023,P4PH,plot_4,#DIV/0!,#DIV/0!
10/01/2023,P4PL,plot_4,3.2996,0.361758296
10/01/2023,P4QC,plot_4,4.055262,0.213184145
10/01/2023,P4CSI,plot_4,#DIV/0!,#DIV/0!
10/01/2023,P4PLOT,plot_4,3.7047872,1.234111734
10/01/2023,P5CSE,plot_5,#DIV/0!,#DIV/0!
10/01/2023,P5PH,plot_5,#DIV/0!,#DIV/0!
10/01/2023,P5PL,plot_5,2.98463,0.89495294
10/01/2023,P5QC,plot_5,4.286024,0.120387436
10/01/2023,P5CSI,plot_5,2.415328,0.289416612
10/01/2023,P5PLOT,plot_5,2.275193333,0.652156019
10/01/2023,P6CSE,plot_6,2.594732,0.065468398
10/01/2023,P6PH,plot_6,#DIV/0!,#DIV/0!
10/01/2023,P6PL,plot_6,#DIV/0!,#DIV/0!
10/01/2023,P6QC,plot_6,2.620482,0.102934203
10/01/2023,P6CSI,plot_6,2.3292275,0.080850994
10/01/2023,P6PLOT,plot_6,3.401114375,1.141864183
13/02/2023,P1CSE,plot_1,#DIV/0!,#DIV/0!
13/02/2023,P1PH,plot_1,#DIV/0!,#DIV/0!
13/02/2023,P1PL,plot_1,1.6884175,0.06460036
13/02/2023,P1QC,plot_1,2.2094075,0.104556285
13/02/2023,P1CSI,plot_1,1.48365,0.115795806
13/02/2023,P1PLOT,plot_1,1.391376583,0.372261269
13/02/2023,P2CSE,plot_2,2.13441,0.10409514
13/02/2023,P2PH,plot_2,1.449386,0.247935781
13/02/2023,P2PL,plot_2,#DIV/0!,#DIV/0!
13/02/2023,P2QC,plot_2,1.806336667,0.324921206
13/02/2023,P2CSI,plot_2,4.144244,0.395551844
13/02/2023,P2PLOT,plot_2,2.899766296,1.029558144
13/02/2023,P3CSE,plot_3,1.913952,0.420434554
13/02/2023,P3PH,plot_3,1.890824,0.072771357
13/02/2023,P3PL,plot_3,2.934218333,0.201856889
13/02/2023,P3QC,plot_3,2.100408,0.112456917
13/02/2023,P3CSI,plot_3,3.233636,0.227319494
13/02/2023,P3PLOT,plot_3,3.0342916,0.473112361
13/02/2023,P4CSE,plot_4,2.634762,0.240035036
13/02/2023,P4PH,plot_4,1.964308,0.105142094
13/02/2023,P4PL,plot_4,4.277434,0.325122488
13/02/2023,P4QC,plot_4,4.265274,0.422229223
13/02/2023,P4CSI,plot_4,4.574194,0.304752151
13/02/2023,P4PLOT,plot_4,2.4071713,0.994857885
13/02/2023,P5CSE,plot_5,#DIV/0!,#DIV/0!
13/02/2023,P5PH,plot_5,#DIV/0!,#DIV/0!
13/02/2023,P5PL,plot_5,0.928708333,0.160739524
13/02/2023,P5QC,plot_5,3.01545,0.113965656
13/02/2023,P5CSI,plot_5,1.19972,#DIV/0!
13/02/2023,P5PLOT,plot_5,2.010799231,0.46798297
13/02/2023,P6CSE,plot_6,2.347003333,0.07010416
13/02/2023,P6PH,plot_6,#DIV/0!,#DIV/0!
13/02/2023,P6PL,plot_6,0.672379333,0.136138597
13/02/2023,P6QC,plot_6,#DIV/0!,#DIV/0!
13/02/2023,P6CSI,plot_6,2.118326,0.137920254
13/02/2023,P6PLOT,plot_6,#DIV/0!,#DIV/0!
04/05/2023,P1CSE,plot_1,2.029228,0.21324548
04/05/2023,P1PH,plot_1,1.431344,0.359492488
04/05/2023,P1PL,plot_1,3.35384,0.753813478
04/05/2023,P1QC,plot_1,4.685374,0.087106172
04/05/2023,P1CSI,plot_1,3.053224,0.114273164
04/05/2023,P1PLOT,plot_1,2.1317976,0.544448367
04/05/2023,P2CSE,plot_2,1.970046,0.124461454
04/05/2023,P2PH,plot_2,#DIV/0!,#DIV/0!
04/05/2023,P2PL,plot_2,0.329313,#DIV/0!
04/05/2023,P2QC,plot_2,2.057878,0.083383814
04/05/2023,P2CSI,plot_2,3.868822,0.285139094
04/05/2023,P2PLOT,plot_2,6.163255172,0.859005294
04/05/2023,P3CSE,plot_3,1.341372,0.301983459
04/05/2023,P3PH,plot_3,1.283576,0.044470574
04/05/2023,P3PL,plot_3,3.47021,0.31920396
04/05/2023,P3QC,plot_3,1.674622,0.058757525
04/05/2023,P3CSI,plot_3,1.991492,0.306941954
04/05/2023,P3PLOT,plot_3,1.962895417,0.551557363
04/05/2023,P4CSE,plot_4,2.184844,0.14369424
04/05/2023,P4PH,plot_4,1.7677525,0.032772141
04/05/2023,P4PL,plot_4,3.024852,0.125588217
04/05/2023,P4QC,plot_4,3.114952,0.113116245
04/05/2023,P4CSI,plot_4,3.993944,0.066863157
04/05/2023,P4PLOT,plot_4,2.69065252,0.864642744
04/05/2023,P5CSE,plot_5,0.749472,0.131277202
04/05/2023,P5PH,plot_5,1.29589,0.286859687
04/05/2023,P5PL,plot_5,2.078908,0.41690998
04/05/2023,P5QC,plot_5,3.281226,0.237533351
04/05/2023,P5CSI,plot_5,2.577804,0.180148435
04/05/2023,P5PLOT,plot_5,2.644610556,0.972043796
04/05/2023,P6CSE,plot_6,2.3376,0.11284471
04/05/2023,P6PH,plot_6,#DIV/0!,#DIV/0!
04/05/2023,P6PL,plot_6,0.779797,0.208461289
04/05/2023,P6QC,plot_6,2.910736,0.464479507
04/05/2023,P6CSI,plot_6,2.076461667,0.293956217
04/05/2023,P6PLOT,plot_6,2.12388,0.797001798
